Comment,Footprint,Designator
PTC 3A,PTC1206,F1
100K Ohms,RES0402,R20
100nF,CAP0402,"C1, C4, C5, C8, C9, C10, C11, C13, C14"
10K Ohms,RES0402,"R4, R5, R6, R11, R12, R15, R16, R18, R19, R22"
10uF,CAP0603,"C3, C6, C12"
1K Ohms,RES0402,"R3, R7, R8"
1uF,CAP0402,"C2, C7"
22 Ohms,RES0402,"R1, R2, R9, R10, R13, R14, R17"
22uF,CAP1206,"C15, C16"
8.2K Ohms,RES0402,R21
AO3400,SOT23,"Q1, Q2, Q3, Q4, Q5, Q6, Q7"
B0530W,SOD-123,"D2, D3, D4, D5, D6, D7, D8"
CP2102N,QFN24,U2
DS2484,SOT23-6,U4
EFM32PG1B100F256GM32,QFN32_0.5P_JPG,U3
KF301-2P,KF301-2P,"CON1, CON2, CON3, CON4, CON5, CON6, CON7, CON8"
MCP1700-330,SOT23,U1
PINHD-1X3/90,1X03/90,JP2
PINHD-1X4/90,1X04/90,JP1
SP0503BAHT,SOT143,D1
